job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-6279,Rockwell Automation Early Careers,Graduate Engineer Trainee,"Pune, India",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Pune-India/Graduate-Engineer-Trainee_R26-6279,Posted 2 Days Ago,2026-09-07,2026-09-07T13:16:41+00:00,2026-09-07 06:16 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-6279,2026-09-07
Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-6277,Rockwell Automation Early Careers,Graduate Engineer Trainee,"Pune, India",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Pune-India/Graduate-Engineer-Trainee_R26-6277,Posted 2 Days Ago,2026-09-08,2026-09-08T14:59:13+00:00,2026-09-08 07:59 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-6277,2026-09-08
Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-6278-1,Rockwell Automation Early Careers,Graduate Engineer Trainee,"Pune, India",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Pune-India/Graduate-Engineer-Trainee_R26-6278-1,Posted 2 Days Ago,2026-09-08,2026-09-08T15:17:07+00:00,2026-09-08 08:17 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-6278-1,2026-09-08
Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-6276,Rockwell Automation Early Careers,Graduate Engineer Trainee,"Pune, India",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Pune-India/Graduate-Engineer-Trainee_R26-6276,Posted 2 Days Ago,2026-09-08,2026-09-08T15:59:11+00:00,2026-09-08 08:59 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-6276,2026-09-08
Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-4616,Rockwell Automation Early Careers,Graduate Engineer Trainee,"Pune, India",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Pune-India/Graduate-Engineer-Trainee_R26-4616,Posted Today,2026-09-09,2026-09-09T11:17:00+00:00,2026-09-09 04:17 Wed,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Pune-India/Graduate-Engineer-Trainee_R26-4616,2026-09-09
Rockwell Automation Early Careers:/job/Austin-Texas-United-States/Intern--Applied-AI_R26-5631-1,Rockwell Automation Early Careers,"Intern, Applied AI","Austin, Texas, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Austin-Texas-United-States/Intern--Applied-AI_R26-5631-1,Posted 7 Days Ago,2026-07-29,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Austin-Texas-United-States/Intern--Applied-AI_R26-5631-1,2026-07-29
Rockwell Automation Early Careers:/job/Chelmsford-Massachusetts-United-States/Intern--Commercial-Operations--LCS-_R26-5067-1,Rockwell Automation Early Careers,"Intern, Commercial Operations (LCS)",Chelmsford-Massachusetts-United-States,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Chelmsford-Massachusetts-United-States/Intern--Commercial-Operations--LCS-_R26-5067-1,Posted 5 Days Ago,2026-09-08,2026-09-07T04:16:44+00:00,2026-09-06 21:16 Sun,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Chelmsford-Massachusetts-United-States/Intern--Commercial-Operations--LCS-_R26-5067-1,2026-09-08
Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Intern--Content-IDE-Software-Development--LCS-_R26-5010-1,Rockwell Automation Early Careers,"Intern, Content IDE Software Development (LCS)","Mayfield Heights, Ohio, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Mayfield-Heights-Ohio-United-States/Intern--Content-IDE-Software-Development--LCS-_R26-5010-1,Posted 11 Days Ago,2026-09-02,2026-09-01T23:59:25+00:00,2026-09-01 16:59 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Intern--Content-IDE-Software-Development--LCS-_R26-5010-1,2026-09-02
Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Intern--Continuous-Improvement--LCS-_R26-5028-1,Rockwell Automation Early Careers,"Intern, Continuous Improvement (LCS)",Mayfield-Heights-Ohio-United-States,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Mayfield-Heights-Ohio-United-States/Intern--Continuous-Improvement--LCS-_R26-5028-1,Posted 11 Days Ago,2026-09-02,2026-09-01T23:41:43+00:00,2026-09-01 16:41 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Intern--Continuous-Improvement--LCS-_R26-5028-1,2026-09-02
Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Intern--Cyber-Professional-Services--LCS-_R26-5042-1,Rockwell Automation Early Careers,"Intern, Cyber Professional Services (LCS)","Mayfield Heights, Ohio, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Mayfield-Heights-Ohio-United-States/Intern--Cyber-Professional-Services--LCS-_R26-5042-1,Posted 11 Days Ago,2026-09-02,2026-09-01T23:41:43+00:00,2026-09-01 16:41 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Intern--Cyber-Professional-Services--LCS-_R26-5042-1,2026-09-02
Rockwell Automation Early Careers:/job/Dallas-Texas-United-States/Intern--Field-Service--LCS-_R26-5034-1,Rockwell Automation Early Careers,"Intern, Field Service (LCS)",Dallas-Texas-United-States,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Dallas-Texas-United-States/Intern--Field-Service--LCS-_R26-5034-1,Posted 11 Days Ago,2026-09-02,2026-09-01T23:59:25+00:00,2026-09-01 16:59 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Dallas-Texas-United-States/Intern--Field-Service--LCS-_R26-5034-1,2026-09-02
Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/Intern--Information-Technology_R26-5374-1,Rockwell Automation Early Careers,"Intern, Information Technology","Milwaukee, Wisconsin, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Milwaukee-Wisconsin-United-States/Intern--Information-Technology_R26-5374-1,Posted 11 Days Ago,2026-09-02,2026-09-01T05:43:53+00:00,2026-08-31 22:43 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/Intern--Information-Technology_R26-5374-1,2026-09-02
Rockwell Automation Early Careers:/job/United-States-of-America-Milwaukee-South-2nd-Street/Intern--Integrated-Supply-Chain-and-Manufacturing_R26-5380-1,Rockwell Automation Early Careers,"Intern, Integrated Supply Chain and Manufacturing",United-States-of-America-Milwaukee-South-2nd-Street,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/United-States-of-America-Milwaukee-South-2nd-Street/Intern--Integrated-Supply-Chain-and-Manufacturing_R26-5380-1,Posted 11 Days Ago,2026-09-02,2026-09-01T05:43:53+00:00,2026-08-31 22:43 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/United-States-of-America-Milwaukee-South-2nd-Street/Intern--Integrated-Supply-Chain-and-Manufacturing_R26-5380-1,2026-09-02
Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/Intern--Market-Access-Strategy--LCS-_R26-5069-1,Rockwell Automation Early Careers,"Intern, Market Access Strategy (LCS)","Milwaukee, Wisconsin, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Milwaukee-Wisconsin-United-States/Intern--Market-Access-Strategy--LCS-_R26-5069-1,Posted 5 Days Ago,2026-09-08,2026-09-07T05:16:48+00:00,2026-09-06 22:16 Sun,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/Intern--Market-Access-Strategy--LCS-_R26-5069-1,2026-09-08
Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/Intern--Market-Intelligence--LCS-_R26-5032-2,Rockwell Automation Early Careers,"Intern, Market Intelligence (LCS)","Milwaukee, Wisconsin, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Milwaukee-Wisconsin-United-States/Intern--Market-Intelligence--LCS-_R26-5032-2,Posted 11 Days Ago,2026-09-02,2026-09-01T23:41:43+00:00,2026-09-01 16:41 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/Intern--Market-Intelligence--LCS-_R26-5032-2,2026-09-02
Rockwell Automation Early Careers:/job/Intern--Remote-Support--LCS-_R26-5025-1,Rockwell Automation Early Careers,"Intern, Remote Support (LCS)",,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Intern--Remote-Support--LCS-_R26-5025-1,Posted 11 Days Ago,2026-09-02,2026-09-01T23:41:43+00:00,2026-09-01 16:41 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Intern--Remote-Support--LCS-_R26-5025-1,2026-09-02
Rockwell Automation Early Careers:/job/Brampton-Ontario-Canada/Intern--Technical-Sales---Consulting--Canada-_R26-5965-1,Rockwell Automation Early Careers,"Intern, Technical Sales & Consulting (Canada)",Brampton-Ontario-Canada,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Brampton-Ontario-Canada/Intern--Technical-Sales---Consulting--Canada-_R26-5965-1,Posted 11 Days Ago,2026-09-02,2026-09-01T04:17:39+00:00,2026-08-31 21:17 Mon,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Brampton-Ontario-Canada/Intern--Technical-Sales---Consulting--Canada-_R26-5965-1,2026-09-02
Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/Intern--Technical-Sales---Consulting--USA-_R26-5962-1,Rockwell Automation Early Careers,"Intern, Technical Sales & Consulting (USA)",Milwaukee-Wisconsin-United-States,,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Milwaukee-Wisconsin-United-States/Intern--Technical-Sales---Consulting--USA-_R26-5962-1,Posted 11 Days Ago,2026-09-02,2026-09-01T14:41:49+00:00,2026-09-01 07:41 Tue,,false,,,,false,workday:Rockwell Automation Early Careers:/job/Milwaukee-Wisconsin-United-States/Intern--Technical-Sales---Consulting--USA-_R26-5962-1,2026-09-02
Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Spring-2027-Co-op--Embedded-Software-Engineer--January-2027---August-2027-_R26-3473,Rockwell Automation Early Careers,"Spring 2027 Co-op, Embedded Software Engineer (January 2027 - August 2027)","Mayfield Heights, Ohio, United States",,https://rockwellautomation.wd1.myworkdayjobs.com/en-US/External-Rockwell-Automation-Early-Careers/job/Mayfield-Heights-Ohio-United-States/Spring-2027-Co-op--Embedded-Software-Engineer--January-2027---August-2027-_R26-3473,Posted Today,2026-08-10,2026-08-10T19:41:45+00:00,2026-08-10 12:41 Mon,Software Engineering,true,Keyword,51,title-only listing; auto-passed (no description to score),true,workday:Rockwell Automation Early Careers:/job/Mayfield-Heights-Ohio-United-States/Spring-2027-Co-op--Embedded-Software-Engineer--January-2027---August-2027-_R26-3473,2026-08-10
